691391.650,6468336.840,Unclassified,Unclassified,32.41,0.221  m,1,48474,-6.0,1,1,238572864.9152687,45312,41984,33024,49152,0.04,-0.08,19291,1,1,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691392.360,6468337.310,Unclassified,Unclassified,32.38,0.22  m,1,51750,-6.0,1,1,238572864.9152716,44288,40704,31744,49920,0.06,-0.10,19291,1,1,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691393.060,6468337.780,Unclassified,Unclassified,32.31,0.156  m,1,52690,-6.0,1,1,238572864.9152744,44800,41216,32256,49920,0.05,-0.10,19291,1,1,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691393.750,6468338.240,Ground,Ground,32.09,0.04  m,2,54175,-5.0,1,1,238572864.9152772,26624,25344,17152,35840,0.15,-0.17,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691394.440,6468338.700,Ground,Ground,32.01,0.083  m,2,54612,-5.0,1,1,238572864.9152799,29184,24832,19712,38144,0.13,-0.21,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691395.130,6468339.160,Ground,Ground,31.99,0.071  m,2,53716,-5.0,1,1,238572864.9152827,40448,38144,29696,46592,0.07,-0.10,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691395.820,6468339.610,Ground,Ground,31.92,0.0040000002  m,2,52493,-5.0,1,1,238572864.9152854,27392,27648,19456,39680,0.18,-0.18,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691390.630,6468337.260,Ground,Ground,32.32,0.11  m,2,50920,-6.0,1,1,238572864.9284509,47872,44032,35584,52224,0.04,-0.09,19291,1,0,Y,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691391.340,6468337.730,Unclassified,Unclassified,32.35,0.148  m,1,51663,-6.0,1,1,238572864.9284537,43520,39424,30208,49152,0.06,-0.11,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691392.040,6468338.200,Ground,Ground,32.26,0.142  m,2,52493,-6.0,1,1,238572864.9284564,31744,27392,22272,39680,0.11,-0.18,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
