X,Y,DESCRIPTION,LAYER,ELEVATION,HEIGHT_ABO,CLASS,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,RED,GREEN,BLUE,NIR,NDVI,NDWI,SOURCE_ID,SCANNER_CH,USER_DATA,KEY_POINT,ID,ERALDISE_N,KVARTALI_N,KATASTRI_N,key6,TO+ID_tree,TO+ID_1 bi,TO+ID_1 sp,TO+ID_1 pi,TO+ID_1 al,TO+ID_1 la,TO+ID_1 co,TO+ID_1 as,TO+ID_1 wi,TO+ID_1 gr,
"691060.350,6468283.050,High Vegetation,High Vegetation,39.77,8.41  m,5,32570,-13.0,3,1,238572866.6414861,23808,25856,16384,49152,0.35,-0.31,19291,1,82,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.200,6468282.970,Ground,Ground,31.61,0.245  m,2,47906,-13.0,2,2,238572866.6414917,26624,27648,19200,49152,0.30,-0.28,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.560,6468283.200,High Vegetation,High Vegetation,33.41,2.05  m,5,28223,-13.0,2,1,238572866.6414917,26112,27904,19456,48640,0.30,-0.27,19291,1,19,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.930,6468283.450,Unclassified,Unclassified,31.45,0.09  m,1,46529,-13.0,2,2,238572866.6414944,32512,30208,22784,46336,0.18,-0.21,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691062.120,6468284.210,High Vegetation,High Vegetation,37.47,6.139  m,5,39430,-13.0,2,1,238572866.6414944,19456,26624,14080,54272,0.47,-0.34,19291,1,61,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691061.630,6468283.900,Ground,Ground,31.36,-0.0060000001  m,2,28529,-13.0,3,3,238572866.6414972,24064,30464,16384,53760,0.38,-0.28,19291,1,0,Y,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691061.940,6468284.110,High Vegetation,High Vegetation,32.97,1.631  m,5,25558,-13.0,3,2,238572866.6414972,22272,31232,16896,57088,0.44,-0.29,19291,1,16,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691062.670,6468284.580,High Vegetation,High Vegetation,36.70,5.384  m,5,49326,-13.0,3,1,238572866.6414972,22016,29952,15360,57088,0.44,-0.31,19291,1,54,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691062.370,6468284.390,Ground,Ground,31.34,0.016  m,2,47556,-13.0,3,3,238572866.6415000,18176,25088,12032,52736,0.49,-0.36,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691063.400,6468285.060,High Vegetation,High Vegetation,36.62,5.326  m,5,27699,-13.0,3,1,238572866.6415000,18944,24320,13312,52224,0.47,-0.36,19291,1,53,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691063.080,6468284.850,High Vegetation,High Vegetation,34.98,3.676  m,5,39189,-13.0,3,2,238572866.6415000,18688,25088,14336,53504,0.48,-0.36,19291,1,36,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691063.120,6468284.880,Ground,Ground,31.33,0.027  m,2,53585,-13.0,1,1,238572866.6415027,18688,25088,14336,53504,0.48,-0.36,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691063.820,6468285.340,Ground,Ground,31.33,0.042  m,2,53498,-13.0,1,1,238572866.6415055,16384,21504,12032,49920,0.51,-0.40,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691064.580,6468285.840,Ground,Ground,31.35,0.08  m,2,49893,-13.0,2,2,238572866.6415083,7680,9984,5632,29440,0.59,-0.49,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691064.990,6468286.110,High Vegetation,High Vegetation,33.46,2.257  m,5,41308,-13.0,2,1,238572866.6415083,6912,7424,6656,15360,0.38,-0.35,19291,1,22,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691066.040,6468286.800,Unclassified,Unclassified,31.39,0.079  m,1,35716,-13.0,1,1,238572866.6415139,2816,2816,2816,20480,0.76,-0.76,19291,1,1,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691066.820,6468287.310,Ground,Ground,31.37,0.06  m,2,50483,-13.0,1,1,238572866.6415167,19456,24832,16896,48640,0.43,-0.32,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691067.550,6468287.780,Unclassified,Unclassified,31.42,0.104  m,1,50461,-13.0,1,1,238572866.6415195,5632,8704,6144,24064,0.62,-0.47,19291,1,1,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691068.260,6468288.250,Ground,Ground,31.36,0.049  m,2,52253,-13.0,1,1,238572866.6415223,7680,7680,7168,16640,0.37,-0.37,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691069.030,6468288.760,Ground,Ground,31.35,0.046  m,2,52144,-13.0,2,2,238572866.6415251,6400,5888,7168,12032,0.31,-0.34,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691069.400,6468289.000,High Vegetation,High Vegetation,33.22,1.908  m,5,27786,-13.0,2,1,238572866.6415251,8704,7424,8448,16384,0.31,-0.38,19291,1,19,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691069.740,6468289.230,Unclassified,Unclassified,31.44,0.118  m,1,43777,-13.0,2,2,238572866.6415279,13568,11776,13568,19968,0.19,-0.26,19291,1,1,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691069.980,6468289.390,Unclassified,Unclassified,32.66,1.331  m,1,36000,-13.0,2,1,238572866.6415279,11520,10240,11776,19200,0.25,-0.30,19291,1,13,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.070,6468284.030,High Vegetation,High Vegetation,40.80,9.456  m,5,39692,-13.0,2,1,238572866.6546710,27136,29952,21760,49408,0.29,-0.25,19291,1,93,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.480,6468284.310,High Vegetation,High Vegetation,35.45,4.11  m,5,26716,-13.0,3,1,238572866.6546765,21504,22784,17664,42240,0.33,-0.30,19291,1,40,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.220,6468284.140,High Vegetation,High Vegetation,34.14,2.797  m,5,30386,-13.0,3,2,238572866.6546765,24832,27136,20224,47616,0.31,-0.27,19291,1,27,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691060.450,6468284.290,Ground,Ground,31.50,0.16  m,2,51095,-13.0,1,1,238572866.6546793,21504,22784,17664,42240,0.33,-0.30,19291,1,0,,1782704.000000000000000,8.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 8=""ERALDISE_N""",1782704,береза,100,0,0,0,0,0,0,0,0
"691033.090,6468444.630,Unclassified,Unclassified,57.87,26.397  m,1,36459,-12.0,2,1,238572865.1907552,3328,5376,2560,15360,0.64,-0.48,19291,0,255,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691031.460,6468444.470,High Vegetation,High Vegetation,58.26,26.744  m,5,29381,-12.0,4,1,238572865.1907607,21248,22784,15616,45824,0.37,-0.34,19291,0,255,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691039.820,6468446.500,Ground,Ground,31.34,-0.013  m,2,43799,-12.0,3,3,238572865.2038982,16128,18432,14080,35840,0.38,-0.32,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
